,Unnamed: 0,Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu
144,144,2014,2,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),"641,75"
145,145,2014,2,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),"569,14"
146,146,2014,3,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),"576,45"
147,147,2014,3,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),"790,74"
148,148,2014,3,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),"578,88"
149,149,2014,3,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),"699,1"
150,150,2014,3,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),"719,84"
151,151,2014,3,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),"697,69"
152,152,2014,3,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),"934,55"
153,153,2014,3,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"869,72"
154,154,2014,3,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"746,78"
155,155,2014,3,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),"713,89"
156,156,2014,3,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),"580,89"
157,157,2014,3,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),Unknown
158,158,2014,3,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),"542,81"
159,159,2014,3,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),"630,89"
160,160,2014,3,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),"605,58"
161,161,2014,3,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),"603,16"
162,162,2014,3,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),"629,58"
163,163,2014,3,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),"624,78"
164,164,2014,3,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),"786,29"
165,165,2014,3,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),"768,46"
166,166,2014,3,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),"1506,2"
167,167,2014,3,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),"988,66"
168,168,2014,3,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),"1081,14"
169,169,2014,3,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),"1386,13"
170,170,2014,3,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),"963,57"
171,171,2014,3,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),"1078,84"
172,172,2014,3,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),"766,33"
173,173,2014,3,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),"642,66"
174,174,2014,3,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),"537,15"
175,175,2014,3,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),"684,28"
176,176,2014,3,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),"691,69"
177,177,2014,3,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),"711,14"
178,178,2014,3,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),"613,17"
179,179,2014,3,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),"536,04"
180,180,2014,3,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),"585,39"
181,181,2014,3,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),"703,15"
182,182,2014,3,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),"498,79"
183,183,2014,3,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),"469,77"
184,184,2014,3,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),"542,51"
185,185,2014,3,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),"578,5"
186,186,2014,3,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),"715,0"
187,187,2014,3,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),Unknown
188,188,2014,3,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),"562,86"
189,189,2014,3,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),"567,26"
190,190,2014,3,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),"522,7"
191,191,2014,3,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),"459,42"
192,192,2014,3,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),"145,45"
193,193,2014,3,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),"607,74"
194,194,2014,3,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),"532,67"
195,195,2014,3,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),"444,29"
196,196,2014,3,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),"484,98"
197,197,2014,3,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),"479,48"
198,198,2014,3,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),"416,65"
199,199,2014,3,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),Unknown
200,200,2014,3,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),"372,44"
201,201,2014,3,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),Unknown
202,202,2014,3,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),"419,12"
